stopword_clean_content,intensity,stopword_clean_count,segmented_content,expanded_content,spell_checked_content,stem_lemma_content,stem_lemma_count
textsno callsnothingbut still thinking like crazy,sadness,6,texts no calls nothing but still thinking like crazy,texts no calls nothing but still thinking like crazy,texts no calls nothing but still thinking like crazy,text no call noth but still think like crazi,9
need much closer,sadness,3,need much closer,need much closer,need much closer,need much closer,3
cant stop missing,sadness,3,cant stop missing,cannot stop missing,can not stop missing,can not stop miss,4
try miss end still,sadness,4,try miss end still,try miss end still,try miss end still,tri miss end still,4
dont miss miss laughs smiles good times way things,sadness,9,dont miss miss laughs smiles good times way things,do not miss miss laughs smiles good times way things,do not miss miss laughs smiles good times way things,do not miss laugh smile good time way thing,9
okay miss,sadness,2,okay miss,okay miss,okay miss,okay miss,2
miss name lighting phone,sadness,4,miss name lighting phone,miss name lighting phone,miss name lighting phone,miss name light phone,4
whenever miss hug pillow imagine,sadness,5,whenever miss hug pillow imagine,whenever miss hug pillow imagine,whenever miss hug pillow imagine,whenev miss hug pillow imagin,5
wish could back used miss,sadness,5,wish could back used miss,wish could back used miss,wish could back used miss,wish could back use miss,5
hug means need kiss means love call means missing,sadness,9,hug means need kiss means love call means missing,hug means need kiss means love call means missing,hug means need kiss means love call means missing,hug mean need kiss love call miss,7
think love miss,sadness,3,think love miss,think love miss,think love miss,think love miss,3
love nothing missing,sadness,3,love nothing missing,love nothing missing,love nothing missing,love noth miss,3
missing something life days,sadness,4,missing something life days,missing something life days,missing something life days,miss someth life day,4
miss seeing name show phone,sadness,5,miss seeing name show phone,miss seeing name show phone,miss seeing name show phone,miss see name show phone,5
miss little much little often little every day,sadness,8,miss little much little often little every day,miss little much little often little every day,miss little much little often little every day,miss littl much often everi day,6
miss time actually meant something,sadness,5,miss time actually meant something,miss time actually meant something,miss time actually meant something,miss time actual meant someth,5
never easy missing someone knowing cant anything,sadness,7,never easy missing someone knowing cant anything,never easy missing someone knowing cannot anything,never easy missing someone knowing can not anything,never easi miss someon know can not anyth,8
still miss miss missing,sadness,4,still miss miss missing,still miss miss missing,still miss miss missing,still miss miss,3
theres always person hate reason,sadness,5,theres always person hate reason,theres always person hate reason,there always person hate reason,there alway person hate reason,5
emotional pain always hurt physical pain,sadness,6,emotional pain always hurt physical pain,emotional pain always hurt physical pain,emotional pain always hurt physical pain,emot pain alway hurt physic,5
silence another word pain,sadness,4,silence another word pain,silence another word pain,silence another word pain,silenc anoth word pain,4
sometimes tears sign unspoken happiness smile sign silenced pain,sadness,9,sometimes tears sign unspoken happiness smile sign silenced pain,sometimes tears sign unspoken happiness smile sign silenced pain,sometimes tears sign unspoken happiness smile sign silenced pain,sometim tear sign unspoken happi smile silenc pain,8
pain remind still alive,sadness,4,pain remind still alive,pain remind still alive,pain remind still alive,pain remind still aliv,4
know silence tears heal pain day,sadness,6,know silence tears heal pain day,know silence tears heal pain day,know silence tears heal pain day,know silenc tear heal pain day,6
missing turn pain pleasure knew missing,sadness,6,missing turn pain pleasure knew missing,missing turn pain pleasure knew missing,missing turn pain pleasure knew missing,miss turn pain pleasur knew,5
painful goodbyes never said never explained,sadness,6,painful goodbyes never said never explained,painful goodbyes never said never explained,painful goodby never said never explained,pain goodbi never said explain,5
love cant proven poems promises presents sometimes pain patience prove,sadness,10,love cant proven poems promises presents sometimes pain patience prove,love cannot proven poems promises presents sometimes pain patience prove,love can not proven poems promises presents sometimes pain patience prove,love can not proven poem promis present sometim pain patienc prove,11
greatest pain comes love loving someone never,sadness,7,greatest pain comes love loving someone never,greatest pain comes love loving someone never,greatest pain comes love loving someone never,greatest pain come love love someon never,7
yes changed pain people,sadness,4,yes changed pain people,yes changed pain people,yes changed pain people,yes chang pain peopl,4
hurts okay cant force someone feel well feel,sadness,8,hurts okay cant force someone feel well feel,hurts okay cannot force someone feel well feel,hurts okay can not force someone feel well feel,hurt okay can not forc someon feel well,8
dont much closer anybody small change behavior hurts lot,sadness,9,dont much closer anybody small change behavior hurts lot,do not much closer anybody small change behavior hurts lot,do not much closer anybody small change behavior hurts lot,do not much closer anybodi small chang behavior hurt lot,10
care much thats get hurt,sadness,5,care much thats get hurt,care much thats get hurt,care much that get hurt,care much that get hurt,5
hurt truth dont comfort lie,sadness,5,hurt truth dont comfort lie,hurt truth do not comfort lie,hurt truth do not comfort lie,hurt truth do not comfort lie,6
days without talking obviously important,sadness,5,days without talking obviously important,days without talking obviously important,days without talking obviously important,day without talk obvious import,5
close eyes things dont want see cant close heart things dont want feel,sadness,13,close eyes things dont want see cant close heart things dont want feel,close eyes things do not want see cannot close heart things do not want feel,close eyes things do not want see can not close heart things do not want feel,close eye thing do not want see can heart feel,10
guys dont realize much little thing hurt girl,sadness,8,guys dont realize much little thing hurt girl,guys do not realize much little thing hurt girl,guys do not realize much little thing hurt girl,guy do not realiz much littl thing hurt girl,9
promises worse lies dont make believe also make hope,sadness,9,promises worse lies dont make believe also make hope,promises worse lies do not make believe also make hope,promises worse lies do not make believe also make hope,promis wors lie do not make believ also hope,9
perfect maturity person hurts try understand siuation dont hurt back,sadness,10,perfect maturity person hurts try understands i uation dont hurt back,perfect maturity person hurts try understands i uation do not hurt back,perfect maturity person hurts try understands i nation do not hurt back,perfect matur person hurt tri understand i nation do not hurt back,12
hurts realize arent important someone thought,sadness,6,hurts realize arent important someone thought,hurts realize are not important someone thought,hurts realize are not important someone thought,hurt realiz are not import someon thought,7
sometimes angry hurt theres big difference,sadness,6,sometimes angry hurt theres big difference,sometimes angry hurt theres big difference,sometimes angry hurt there big difference,sometim angri hurt there big differ,6
dont ask someone keep hurting ask youre allowing,sadness,8,dont ask someone keep hurting ask your e allowing,do not ask someone keep hurting ask your e allowing,do not ask someone keep hurting ask your e allowing,do not ask someon keep hurt your e allow,9
love like rubber band held ends people leaves hurts,sadness,9,love like rubber band held ends people leaves hurts,love like rubber band held ends people leaves hurts,love like rubber band held ends people leaves hurts,love like rubber band held end peopl leav hurt,9
love always hurts,sadness,3,love always hurts,love always hurts,love always hurts,love alway hurt,3
nothing hurts realizing meant everything meant nothing,sadness,7,nothing hurts realizing meant everything meant nothing,nothing hurts realizing meant everything meant nothing,nothing hurts realizing meant everything meant nothing,noth hurt realiz meant everyth,5
wish could give pain moment hurt rather finally understand much hurt,sadness,11,wish could give pain moment hurt rather finally understand much hurt,wish could give pain moment hurt rather finally understand much hurt,wish could give pain moment hurt rather finally understand much hurt,wish could give pain moment hurt rather final understand much,10
dont trust much dont hope much much hurt much,sadness,9,dont trust much dont hope much much hurt much,do not trust much do not hope much much hurt much,do not trust much do not hope much much hurt much,do not trust much hope hurt,6
hurts realize arent important someone thought,sadness,6,hurts realize arent important someone thought,hurts realize are not important someone thought,hurts realize are not important someone thought,hurt realiz are not import someon thought,7
feel like everything wrong,sadness,4,feel like everything wrong,feel like everything wrong,feel like everything wrong,feel like everyth wrong,4
erase messages delete numbers move dont forget accept arent person anymore,sadness,11,erase messages delete numbers move dont forget accept arent person anymore,erase messages delete numbers move do not forget accept are not person anymore,ease messages delete numbers move do not forget accept are not person anymore,ea messag delet number move do not forget accept are person anymor,12
sometimes youre love care much let dont want hurt,sadness,9,sometimes your e love care much let dont want hurt,sometimes your e love care much let do not want hurt,sometimes your e love care much let do not want hurt,sometim your e love care much let do not want hurt,11
get hurt actually give fuck,sadness,5,get hurt actually give fuck,get hurt actually give fuck,get hurt actually give fuck,get hurt actual give fuck,5
love like heavenbut hurts like hell,sadness,6,love like heaven but hurts like hell,love like heaven but hurts like hell,love like heaven but hurts like hell,love like heaven but hurt hell,6
sometimes wish guts hurt like hurt even chance wouldnt take,sadness,10,sometimes wish guts hurt like hurt even chance wouldnt take,sometimes wish guts hurt like hurt even chance would not take,sometimes wish guts hurt like hurt even chance would not take,sometim wish gut hurt like even chanc would not take,10
hope youll realize much youre hurting someday,sadness,7,hope you ll realize much your e hurting someday,hope you ll realize much your e hurting someday,hope you ll realize much your e hurting someday,hope you ll realiz much your e hurt someday,9
time doesnt really heal heart makes heart forget pain,sadness,9,time doesnt really heal heart makes heart forget pain,time does not really heal heart makes heart forget pain,time does not really heal heart makes heart forget pain,time doe not realli heal heart make forget pain,9
sometimes better alone nobody hurt,sadness,5,sometimes better alone nobody hurt,sometimes better alone nobody hurt,sometimes better alone nobody hurt,sometim better alon nobodi hurt,5
fall love get hurt thats life,sadness,6,fall love get hurt thats life,fall love get hurt thats life,fall love get hurt that life,fall love get hurt that life,6
deepest people ones whove hurt,sadness,5,deepest people ones who ve hurt,deepest people ones who ve hurt,deepest people ones who ve hurt,deepest peopl one who ve hurt,6
forget hurt yesterday dont forget loves tenderly today,sadness,8,for get hurt yesterday dont forget loves tenderly today,for get hurt yesterday do not forget loves tenderly today,for get hurt yesterday do not forget loves tenderly today,for get hurt yesterday do not forget love tender today,10
getting hurt doesnt make stupid means enough hope enough love heart always think best people,sadness,15,getting hurt doesnt make stupid means enough hope enough love heart always think best people,getting hurt does not make stupid means enough hope enough love heart always think best people,getting hurt does not make stupid means enough hope enough love heart always think best people,get hurt doe not make stupid mean enough hope love heart alway think best peopl,15
ones truly hurt deeply ones love,sadness,6,ones truly hurt deeply ones love,ones truly hurt deeply ones love,ones truly hurt deeply ones love,one truli hurt deepli love,5
nothing hurts realizing everything nothing,sadness,5,nothing hurts realizing everything nothing,nothing hurts realizing everything nothing,nothing hurts realizing everything nothing,noth hurt realiz everyth,4
hurts today makes stronger tomorrow,sadness,5,hurts today makes stronger tomorrow,hurts today makes stronger tomorrow,hurts today makes stronger tomorrow,hurt today make stronger tomorrow,5
hardest thing watch love love someone else,sadness,7,hardest thing watch love love someone else,hardest thing watch love love someone else,hardest thing watch love love someone else,hardest thing watch love someon el,6
day youll realizeall love gave youis given someone else,sadness,9,day youll realize all love gave you is given someone else,day you will realize all love gave you is given someone else,day you will realize all love gave you is given someone else,day you will realiz all love gave is given someon el,11
silent people greatest heart,sadness,4,silent people greatest heart,silent people greatest heart,silent people greatest heart,silent peopl greatest heart,4
youre happy enjoy music youre sad understand lyrics,sadness,8,your e happy enjoy music your e sad understand lyrics,your e happy enjoy music your e sad understand lyrics,your e happy enjoy music your e sad understand lyric,your e happi enjoy music sad understand lyric,8
get jealous afraid someone going make happier,sadness,7,get jealous afraid someone going make happier,get jealous afraid someone going make happier,get jealous afraid someone going make happier,get jealous afraid someon go make happier,7
sometimes need run away see follow,sadness,6,sometimes need run away see follow,sometimes need run away see follow,sometimes need run away see follow,sometim need run away see follow,6
girl make laugh likes make cry loves,sadness,7,girl make laugh likes make cry loves,girl make laugh likes make cry loves,girl make laugh likes make cry loves,girl make laugh like cri love,6
emotions trouble things call,sadness,4,emotions trouble things call,emotions trouble things call,emotions trouble things call,emot troubl thing call,4
tell story doesnt make cry thats know youve healed,sadness,9,tell story doesnt make cry thats know youve healed,tell story does not make cry thats know you have healed,tell story does not make cry that know you have healed,tell stori doe not make cri that know you have heal,11
never assume someone likes sweetness sometimes youre option theyre bored,sadness,10,never assume someone likes sweetness sometimes your e option theyre bored,never assume someone likes sweetness sometimes your e option they are bored,never assume someone likes sweetness sometimes your e option they are bored,never assum someon like sweet sometim your e option they are bore,12
arent worthy silence cant respect feelings,sadness,6,arent worthy silence cant respect feelings,are not worthy silence cannot respect feelings,are not worthy silence can not respect feelings,are not worthi silenc can respect feel,7
get addicted something takes away pain,sadness,6,get addicted something takes away pain,get addicted something takes away pain,get addicted something takes away pain,get addict someth take away pain,6
dear feelings need move,sadness,4,dear feelings need move,dear feelings need move,dear feelings need move,dear feel need move,4
stays permanently learn survive alone,sadness,5,stays permanently learn survive alone,stays permanently learn survive alone,stays permanently learn survive alone,stay perman learn surviv alon,5
never search happiness makes feel none search feel happy even left alone,sadness,12,never search happiness makes feel none search feel happy even left alone,never search happiness makes feel none search feel happy even left alone,never search happiness makes feel none search feel happy even left alone,never search happi make feel none happi even left alon,10
wish could ignore way ignore,sadness,5,wish could ignore way ignore,wish could ignore way ignore,wish could ignore way ignore,wish could ignor way,4
understand left dont understand still waiting,sadness,6,understand left dont understand still waiting,understand left do not understand still waiting,understand left do not understand still waiting,understand left do not still wait,6
sometimes stay silent words explain whats going mind heart,sadness,9,sometimes stay silent words explain whats going mind heart,sometimes stay silent words explain whats going mind heart,sometimes stay silent words explain what going mind heart,sometim stay silent word explain what go mind heart,9
feel alone sometimes,sadness,3,feel alone sometimes,feel alone sometimes,feel alone sometimes,feel alon sometim,3
dont want dont mess feelings,sadness,5,dont want dont mess feelings,do not want do not mess feelings,do not want do not mess feelings,do not want mess feel,5
never depend others much someday walk alone,sadness,7,never depend others much someday walk alone,never depend others much someday walk alone,never depend others much someday walk alone,never depend other much someday walk alon,7
hard forget someone gave much remember,sadness,6,hard for get someone gave much remember,hard for get someone gave much remember,hard for get someone gave much remember,hard for get someon gave much rememb,7
better quietly miss someone rather let know get response,sadness,9,better quietly miss someone rather let know get response,better quietly miss someone rather let know get response,better quietly miss someone rather let know get response,better quiet miss someon rather let know get respons,9
billions people world sometimes really need,sadness,6,billions people world sometimes really need,billions people world sometimes really need,billions people world sometimes really need,billion peopl world sometim realli need,6
never feel alone bcz loneliness always,sadness,6,never feel alone bcz loneliness always,never feel alone because loneliness always,never feel alone because loneliness always,never feel alon becaus loneli alway,6
sometimes pretend dont care really care anyone else ever,sadness,9,sometimes pretend dont care really care anyone else ever,sometimes pretend do not care really care anyone else ever,sometimes pretend do not care really care anyone else ever,sometim pretend do not care realli anyon el ever,9
matter hard try people never change,sadness,6,matter hard try people never change,matter hard try people never change,matter hard try people never change,matter hard tri peopl never chang,6
type girl smiles make everyones day even though dying inside,sadness,10,type girls miles make every ones day even though dying inside,type girls miles make every ones day even though dying inside,type girls miles make every ones day even though dying inside,type girl mile make everi one day even though die insid,11
sit alone sit past,sadness,4,sit alone sit past,sit alone sit past,sit alone sit past,sit alon past,3
scared getting close anyone said always,sadness,6,scared getting close anyone said always,scared getting close anyone said always,scared getting close anyone said always,scare get close anyon said alway,6
people always online loneliest agree,sadness,5,people always online loneliest agree,people always online loneliest agree,people always online loneliest agree,peopl alway onlin loneliest agre,5
dont care long know nobody,sadness,5,dont care long know nobody,do not care long know nobody,do not care long know nobody,do not care long know nobodi,6
hope always remember great memories created,sadness,6,hope always remember great memories created,hope always remember great memories created,hope always remember great memories created,hope alway rememb great memori creat,6
may forget person memories stay forever,sadness,6,may forget person memories stay forever,may forget person memories stay forever,may forget person memories stay forever,may forget person memori stay forev,6
close anymore doesnt mean dont care,sadness,6,close anymore doesnt mean dont care,close anymore does not mean do not care,close anymore does not mean do not care,close anymor doe not mean do care,7
missing someone part loving never apart never know strong love really,sadness,11,missing someone part loving never apart never know strong love really,missing someone part loving never apart never know strong love really,missing someone part loving never apart never know strong love really,miss someon part love never apart know strong love realli,10
loneliness better bad company,sadness,4,loneliness better bad company,loneliness better bad company,loneliness better bad company,loneli better bad compani,4
told perfect still left known perfect wouldnt good enough,sadness,9,told perfect still left known perfect wouldnt good enough,told perfect still left known perfect would not good enough,told perfect still left known perfect would not good enough,told perfect still left known would not good enough,9
dont cry someone wouldnt cry,sadness,5,dont cry someone wouldnt cry,do not cry someone would not cry,do not cry someone would not cry,do not cri someon would,5
ignores thats need talk,sadness,4,ignores thats need talk,ignores thats need talk,ignores that need talk,ignor that need talk,4
sorry isnt always enough sometimes actually change,sadness,7,sorry isnt always enough sometimes actually change,sorry is not always enough sometimes actually change,sorry is not always enough sometimes actually change,sorri is not alway enough sometim actual chang,8
upon time stupid enough fall love,sadness,6,upon time stupid enough fall love,upon time stupid enough fall love,upon time stupid enough fall love,upon time stupid enough fall love,6
walking friend dark better walking alone light,sadness,7,walking friend dark better walking alone light,walking friend dark better walking alone light,walking friend dark better walking alone light,walk friend dark better alon light,6
every time ignore regret every text message ever sent,sadness,9,every time ignore regret every text message ever sent,every time ignore regret every text message ever sent,every time ignore regret every text message ever sent,everi time ignor regret text messag ever sent,8
sometimes hate getting close people think walk life matter close,sadness,10,sometimes hate getting close people think walk life matter close,sometimes hate getting close people think walk life matter close,sometimes hate getting close people think walk life matter close,sometim hate get close peopl think walk life matter,9
days cant stop thinking days wonder wasting time,sadness,8,days cant stop thinking days wonder wasting time,days cannot stop thinking days wonder wasting time,days can not stop thinking days wonder wasting time,day can not stop think wonder wast time,8
things never back way used matter much miss,sadness,8,things never back way used matter much miss,things never back way used matter much miss,things never back way used matter much miss,thing never back way use matter much miss,8
cheating choice mistake,sadness,3,cheating choice mistake,cheating choice mistake,cheating choice mistake,cheat choic mistak,3
people always cheated mebecause loved like mad,sadness,7,people always cheated me because loved like mad,people always cheated me because loved like mad,people always cheated me because loved like mad,peopl alway cheat me becaus love like mad,8
want honest relationship lies mind games cheating,sadness,7,want honest relationship lies mind games cheating,want honest relationship lies mind games cheating,want honest relationship lies mind games cheating,want honest relationship lie mind game cheat,7
alphabets teaching cheating common try cheat often teach,sadness,8,alphabets teaching cheating common try cheat often teach,alphabets teaching cheating common try cheat often teach,alphabet teaching cheating common try cheat often teach,alphabet teach cheat common tri cheat often teach,8
dont understand people cheat youre happy leave,sadness,7,dont understand people cheat your e happy leave,do not understand people cheat your e happy leave,do not understand people cheat your e happy leave,do not understand peopl cheat your e happi leav,9
relationship flirting cheating,sadness,3,relationship flirting cheating,relationship flirting cheating,relationship flirting cheating,relationship flirt cheat,3
people dont cheat chance cheat choice,sadness,6,people dont cheat chance cheat choice,people do not cheat chance cheat choice,people do not cheat chance cheat choice,peopl do not cheat chanc choic,6
cheater always repeater,sadness,3,cheater always repeater,cheater always repeater,cheater always repeated,cheater alway repeat,3
cheater always cheater never trusted,sadness,5,cheater always cheater never trusted,cheater always cheater never trusted,cheater always cheater never trusted,cheater alway never trust,4
cheating isnt always kissing touching flirting gotta delete text messages partner wont seem already,sadness,14,cheating isnt always kissing touching flirting gotta delete text messages partner wont seem already,cheating is not always kissing touching flirting gotta delete text messages partner will not seem already,cheating is not always kissing touching flirting got ta delete text messages partner will not seem already,cheat is not alway kiss touch flirt got ta delet text messag partner will seem alreadi,16
cheating easy try something hard like committed,sadness,7,cheating easy try something hard like committed,cheating easy try something hard like committed,cheating easy try something hard like committed,cheat easi tri someth hard like commit,7
dont lie dont cheat dont make promises cant keep,sadness,9,dont lie dont cheat dont make promises cant keep,do not lie do not cheat do not make promises cannot keep,do not lie do not cheat do not make promises can not keep,do not lie cheat make promis can keep,8
honest frankpeople may cheat yoube honest frank anyway,sadness,8,honest frank people may cheat you be honest frank anyway,honest frank people may cheat you be honest frank anyway,honest frank people may cheat you be honest frank anyway,honest frank peopl may cheat you be anyway,8
excuse cheating relationship,sadness,3,excuse cheating relationship,excuse cheating relationship,excuse cheating relationship,excus cheat relationship,3
interested dont cheat better leave,sadness,5,interested dont cheat better leave,interested do not cheat better leave,interested do not cheat better leave,interest do not cheat better leav,6
cheating unless get caught,sadness,4,cheating unless get caught,cheating unless get caught,cheating unless get caught,cheat unless get caught,4
relationship flirting cheating,sadness,3,relationship flirting cheating,relationship flirting cheating,relationship flirting cheating,relationship flirt cheat,3
cheaters think everyone cheats liars think everyone lies keep mind,sadness,10,cheaters think everyone cheats liars think everyone lies keep mind,cheaters think everyone cheats liars think everyone lies keep mind,theaters think everyone cheats liar think everyone lies keep mind,theater think everyon cheat liar lie keep mind,8
enough time cheat enough time think,sadness,6,enough time cheat enough time think,enough time cheat enough time think,enough time cheat enough time think,enough time cheat think,4
dont cry someone wont cry,sadness,5,dont cry someone wont cry,do not cry someone will not cry,do not cry someone will not cry,do not cri someon will,5
cheating choice mistake,sadness,3,cheating choice mistake,cheating choice mistake,cheating choice mistake,cheat choic mistak,3
